INTERFACES_TABLE
node_object_name	remote_node_object_name	name	cost	capacity    circuit_id
A   B   A-B 10  100 1
B   A   B-A 10  100 1
B   C   B-C 10  100 2
C   B   C-B 10  100 2
C   D   C-D 10  100 3
D   C   D-C 10  100 3
D   E   D-E 10  100 4
E   D   E-D 10  100 4
A   F   A-F 10  100 5
F   A   F-A 10  100 5
F   G   F-G 10  100 6
G   F   G-F 10  100 6
G   H   G-H 10  100 7
H   G   H-G 10  100 7
H   E   H-E 10  100 8
E   H   E-H 10  100 8
C   I   C-I 10  100 9
I   C   I-C 10  100 9
I   E   I-E 10  100 10
E   I   E-I 10  100 10
E   J   E-J 10  100 11
J   E   J-E 10  100 11

NODES_TABLE
name	lon	lat

DEMANDS_TABLE
source	dest	traffic	name
A   J   100 dmd_a_j_1

RSVP_LSP_TABLE
source	dest	name
B   E   lsp_b_e_1
F   H   lsp_f_h_1
